"","DATE","RENTED_BIKE_COUNT","TEMPERATURE","HUMIDITY","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","RAINFALL","SNOWFALL","FUNCTIONING_DAY","SEASONSAutumn","SEASONSSpring","SEASONSSummer","SEASONSWinter","HOLIDAYHoliday","HOLIDAYNo.Holiday","HOUR0","HOUR1","HOUR10","HOUR11","HOUR12","HOUR13","HOUR14","HOUR15","HOUR16","HOUR17","HOUR18","HOUR19","HOUR2","HOUR20","HOUR21","HOUR22","HOUR23","HOUR3","HOUR4","HOUR5","HOUR6","HOUR7","HOUR8","HOUR9"
"1","01/12/2017",-0.739715321588351,-1.4846038597046,-1.03233394625053,0.458402369574115,0.929522006812891,-1.62697084412263,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","01/12/2017",-0.817554364526569,-1.50938539578513,-0.983517354784028,-0.895194700696188,0.929522006812891,-1.62697084412263,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","01/12/2017",-0.865814571148263,-1.55068795591936,-0.934700763317521,-0.701823690657574,0.929522006812891,-1.63452234594274,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4","01/12/2017",-0.96856210782671,-1.56720897997305,-0.885884171851015,-0.798509195676881,0.929522006812891,-1.62697084412263,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5","01/12/2017",-1.01370875273088,-1.55068795591936,-1.08115053771704,0.555087874593422,0.929522006812891,-1.70248586232379,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6","01/12/2017",-0.979459573838061,-1.58373000402674,-1.03233394625053,-0.218396165561037,0.929522006812891,-1.7100373641439,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7","01/12/2017",-0.853360324278149,-1.60025102808043,-1.12996712918355,-0.411767175599651,0.929522006812891,-1.77044937870483,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8","01/12/2017",-0.419018464682896,-1.6663351242952,-0.983517354784028,-0.798509195676881,0.929522006812891,-1.7553463750646,-0.654040684775878,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9","01/12/2017",0.312668538936348,-1.68285614834889,-1.03233394625053,-0.605138185638266,0.929522006812891,-1.79310388416518,-0.642523201113244,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10","01/12/2017",-0.372315038919965,-1.59199051605359,-1.5204998609156,-1.18525121575411,0.811305350267615,-1.98944293148819,-0.389138560535313,-0.132487434896699,-0.174940352444723,"Yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
